# ID    X       Y       F814    F606-F814 dx     dy
168	0372.4	3204.0	16.37	0.654	0.09	-0.12
169	0372.6	3773.0	22.65	1.683	-0.08	-0.12
170	0374.8	1785.0	17.64	0.771	0.16	-0.02
171	0377.4	2403.0	15.77	0.624	0.15	-0.06
172	0380.1	2182.0	20.22	1.240	-0.12	0.04
173	0380.5	3258.0	22.21	1.552	0.24	-0.14
174	0381.0	3448.0	20.87	1.326	-0.05	-0.01
175	0382.9	1063.0	20.45	1.287	0.13	0.06
176	0384.1	3297.0	18.88	1.021	-0.11	-0.21
177	0384.2	1216.0	23.87	2.372	-0.08	0.37
178	0384.6	2624.0	20.71	1.297	0.35	-0.09
179	0385.3	3611.0	24.94	0.503	-0.08	-0.01
180	0385.7	2269.0	20.36	1.274	0.29	-0.31
181	0386.6	1946.0	20.40	1.253	0.21	-0.19
182	0386.7	2696.0	26.68	1.002	0.51	-0.92
183	0387.5	1517.0	19.96	1.214	-0.43	0.06
184	0388.6	2887.0	19.22	1.097	0.42	-0.07
185	0390.4	3394.0	19.46	1.132	0.19	-0.26
186	0391.7	3230.0	24.23	0.353	0.19	-0.05
187	0392.0	3042.0	21.59	1.392	0.02	0.11
188	0395.0	2873.0	20.90	1.334	0.00	-0.23
189	0395.1	2578.0	17.78	0.812	-0.08	-0.19
190	0395.1	3562.0	18.67	0.969	-0.11	0.46
191	0395.5	2327.0	21.19	1.345	0.15	-0.08
192	0397.9	3314.0	26.54	1.109	0.09	0.31
193	0398.4	1468.0	14.07	0.799	0.11	-0.76
194	0398.6	1214.0	19.62	1.160	0.43	-0.16
195	0399.6	3155.0	21.00	1.316	0.35	0.13
196	0401.6	2302.0	17.28	0.733	0.27	0.18
197	0403.8	1552.0	26.40	0.856	0.37	0.11
198	0405.0	1933.0	20.83	1.318	0.02	0.23
199	0406.1	3401.0	17.47	0.757	-0.10	-0.29
200	0407.1	2600.0	21.77	1.393	-0.12	0.30
201	0407.9	3329.0	27.01	1.252	0.53	0.47
202	0411.1	3908.0	21.42	1.380	-0.12	-0.48
203	0412.3	1435.0	21.43	1.432	-0.32	0.16
204	0412.5	0992.5	17.67	0.800	0.17	0.51
205	0413.1	3157.0	22.02	1.497	-0.11	-0.03
206	0414.9	3082.0	21.62	1.406	0.10	0.12
207	0415.2	3795.0	19.63	1.155	-0.20	0.12
208	0415.5	2131.0	20.67	1.380	0.32	-0.02
209	0417.0	2669.0	20.87	1.321	0.02	-0.07
210	0417.7	2471.0	18.85	0.992	0.26	0.14
211	0419.8	3554.0	22.99	1.826	0.14	0.25
212	0420.0	3917.0	19.30	1.090	0.04	-0.01
213	0420.4	2840.0	26.15	0.913	-0.32	-0.30
214	0420.5	1746.0	19.12	1.057	0.09	0.00
215	0422.5	1277.0	20.96	1.332	0.52	-0.04
216	0423.1	1443.0	23.44	1.927	-0.26	0.00
217	0424.3	3975.0	21.02	1.333	-0.28	-0.13
218	0427.0	1202.0	20.10	1.230	-0.01	0.18
219	0427.9	3411.0	26.30	0.903	0.41	-0.06
220	0429.3	1085.0	18.18	0.872	-0.28	-0.04
221	0431.6	2359.0	26.68	1.199	-0.61	-0.10
222	0431.9	1972.0	26.48	0.996	0.65	0.58
223	0431.9	2145.0	14.37	0.245	0.25	-0.02
224	0432.4	3452.0	20.97	1.333	0.04	-0.06
225	0433.4	3490.0	21.80	1.456	-0.36	0.10
226	0433.7	1729.0	20.98	1.336	0.27	-0.18
227	0434.4	1757.0	24.21	0.271	0.17	-0.01
228	0435.6	3302.0	17.76	0.801	0.14	0.42
229	0437.7	2324.0	20.12	1.229	0.19	-0.34
230	0437.8	1563.0	21.08	1.346	0.18	0.08
